date	inst	cdu	spd	gru	fdp	lin	pir	afd	son
2013-09-15	Emnid	39.0	26.0	10.0	5.0	9.0	3.0		8.0
2013-09-13	Forsch’gr.Wahlen	40.0	26.0	11.0	6.0	8.0			9.0
2013-09-12	Infratestdimap	40.0	28.0	10.0	5.0	8.0	2.5		6.5
2013-09-11	Forsa	39.0	25.0	9.0	6.0	10.0	3.0		8.0
2013-09-10	GMS	40.0	25.0	11.0	5.0	9.0	3.0		7.0
2013-09-08	Emnid	40.0	25.0	11.0	5.0	9.0	3.0		7.0
2013-09-05	Infratestdimap	41.0	27.0	10.0	5.0	8.0			9.0
2013-09-05	Forsch’gr.Wahlen	41.0	26.0	10.0	6.0	8.0			9.0
2013-09-04	Forsa	40.0	23.0	11.0	5.0	9.0	3.0		9.0
2013-09-01	Emnid	39.0	23.0	11.0	6.0	10.0	3.0		8.0
2013-08-29	Infratestdimap	41.0	26.0	11.0	5.0	8.0			9.0
2013-08-29	Forsch’gr.Wahlen	41.0	26.0	12.0	6.0	7.0			8.0
2013-08-28	Forsa	41.0	22.0	11.0	5.0	10.0	3.0		8.0
2013-08-25	Emnid	40.0	25.0	12.0	5.0	8.0	3.0		7.0
2013-08-23	Forsch’gr.Wahlen	41.0	25.0	13.0	6.0	8.0			7.0
2013-08-21	Forsa	41.0	22.0	13.0	6.0	8.0	3.0		7.0
2013-08-20	GMS	41.0	25.0	12.0	6.0	8.0	3.0		5.0
2013-08-18	Emnid	40.0	24.0	12.0	6.0	8.0	4.0		6.0
2013-08-16	Forsch’gr.Wahlen	41.0	25.0	13.0	5.0	8.0	3.0		5.0
2013-08-15	Infratestdimap	42.0	25.0	12.0	5.0	8.0	3.0		5.0
2013-08-14	Forsa	40.0	23.0	13.0	5.0	8.0	3.0		8.0
2013-08-11	Emnid	41.0	25.0	13.0	5.0	8.0	3.0		5.0
2013-08-09	Infratestdimap	42.0	25.0	13.0	5.0	7.0	3.0		5.0
2013-08-07	Forsa	40.0	23.0	14.0	5.0	7.0	3.0		8.0
2013-08-04	Emnid	40.0	25.0	13.0	5.0	8.0	3.0		6.0
2013-08-02	Forsch’gr.Wahlen	40.0	27.0	14.0	5.0	7.0			7.0
2013-08-01	Infratestdimap	42.0	26.0	13.0	5.0	7.0			7.0
2013-07-31	Forsa	41.0	22.0	13.0	5.0	8.0	3.0		8.0
2013-07-28	Emnid	40.0	25.0	13.0	5.0	8.0	3.0		6.0
2013-07-25	Infratestdimap	42.0	25.0	14.0	4.0	7.0	2.0		6.0
2013-07-24	Forsa	41.0	22.0	12.0	5.0	9.0	4.0		7.0
2013-07-21	Emnid	40.0	25.0	13.0	6.0	8.0	3.0		5.0
2013-07-19	Infratestdimap	41.0	26.0	13.0	4.0	7.0			9.0
2013-07-17	Forsa	41.0	23.0	14.0	5.0	8.0	2.0		7.0
2013-07-16	GMS	41.0	25.0	13.0	5.0	7.0	2.0		7.0
2013-07-14	Emnid	41.0	26.0	12.0	5.0	7.0	4.0		5.0
2013-07-12	Infratestdimap	41.0	26.0	14.0	4.0	6.0			9.0
2013-07-12	Forsch’gr.Wahlen	41.0	26.0	13.0	5.0	7.0			8.0
2013-07-12	Allensbach	40.0	25.5	12.5	6.5	6.0	2.0		7.5
2013-07-10	Forsa	41.0	22.0	15.0	5.0	9.0	2.0		6.0
2013-07-07	Emnid	42.0	26.0	12.0	4.0	8.0	3.0		5.0
2013-07-04	Infratestdimap	42.0	25.0	14.0	4.0	7.0	3.0		5.0
2013-07-03	Forsa	41.0	22.0	14.0	5.0	9.0	2.0		7.0
2013-06-30	Emnid	41.0	25.0	13.0	5.0	7.0	3.0		6.0
2013-06-28	Infratestdimap	41.0	26.0	13.0	4.0	7.0	3.0		6.0
2013-06-28	Forsch’gr.Wahlen	43.0	26.0	13.0	4.0	6.0			8.0
2013-06-26	Forsa	41.0	22.0	15.0	5.0	8.0	2.0		7.0
2013-06-23	Emnid	41.0	25.0	14.0	4.0	8.0	3.0		5.0
2013-06-21	Infratestdimap	41.0	25.0	14.0	5.0	7.0			8.0
2013-06-19	Forsa	40.0	22.0	15.0	6.0	8.0	2.0		7.0
2013-06-18	GMS	41.0	25.0	14.0	5.0	8.0	2.0		5.0
2013-06-16	Emnid	41.0	25.0	13.0	5.0	8.0	3.0		5.0
2013-06-14	Infratestdimap	41.0	26.0	15.0	4.0	7.0			7.0
2013-06-12	Forsa	40.0	24.0	13.0	5.0	9.0	2.0		7.0
2013-06-09	Emnid	41.0	26.0	13.0	4.0	7.0	3.0		6.0
2013-06-07	Forsch’gr.Wahlen	42.0	28.0	13.0	4.0	6.0			7.0
2013-06-06	Infratestdimap	41.0	27.0	14.0	4.0	6.0			8.0
2013-06-05	Forsa	41.0	24.0	13.0	4.0	8.0	3.0		7.0
2013-06-02	Emnid	40.0	26.0	14.0	5.0	7.0	4.0		4.0
2013-05-31	Infratestdimap	42.0	26.0	14.0	4.0	6.0			8.0
2013-05-28	Forsa	40.0	24.0	14.0	4.0	8.0	3.0		7.0
2013-05-26	Emnid	40.0	27.0	13.0	4.0	7.0	4.0		5.0
2013-05-24	Infratestdimap	41.0	27.0	14.0	4.0	6.0	2.0		6.0
2013-05-22	Forsa	41.0	24.0	13.0	4.0	8.0	3.0		7.0
2013-05-22	Allensbach	39.0	27.0	13.0	6.0	6.0	2.5		6.5
2013-05-19	Emnid	39.0	26.0	15.0	4.0	7.0	4.0		5.0
2013-05-17	Infratestdimap	41.0	26.0	14.0	4.0	6.0	3.0		6.0
2013-05-17	Forsch’gr.Wahlen	41.0	29.0	13.0	4.0	6.0			7.0
2013-05-16	GMS	40.0	25.0	14.0	4.0	7.0	3.0		7.0
2013-05-15	Forsa	40.0	23.0	14.0	4.0	9.0	3.0		7.0
2013-05-12	Emnid	38.0	26.0	15.0	4.0	8.0	4.0		5.0
2013-05-10	Infratestdimap	40.0	27.0	14.0	5.0	6.0			8.0
2013-05-07	Forsa	39.0	24.0	15.0	4.0	8.0	2.0		8.0
2013-05-05	Emnid	37.0	27.0	15.0	5.0	7.0	4.0		5.0
2013-05-02	Infratestdimap	40.0	26.0	15.0	4.0	7.0			8.0
2013-05-01	Forsa	39.0	23.0	14.0	5.0	8.0	3.0		8.0
2013-04-28	Emnid	40.0	27.0	14.0	4.0	7.0	3.0		5.0
2013-04-26	Infratestdimap	40.0	27.0	14.0	4.0	7.0	2.0		6.0
2013-04-26	Forsch’gr.Wahlen	40.0	28.0	14.0	4.0	6.0			8.0
2013-04-24	Forsa	42.0	23.0	14.0	5.0	7.0	3.0		6.0
2013-04-21	Infratestdimap	41.0	27.0	14.0	4.0	7.0			7.0
2013-04-21	Emnid	39.0	26.0	14.0	5.0	8.0	4.0		4.0
2013-04-17	Forsa	42.0	22.0	15.0	5.0	8.0	3.0		5.0
2013-04-17	Allensbach	38.5	28.0	15.0	5.0	7.0	3.0		3.5
2013-04-16	GMS	42.0	24.0	13.0	6.0	8.0	2.0		5.0
2013-04-14	Emnid	41.0	26.0	14.0	5.0	8.0	3.0		3.0
2013-04-12	Infratestdimap	42.0	27.0	15.0	4.0	7.0	2.0		3.0
2013-04-12	Forsch’gr.Wahlen	42.0	27.0	14.0	4.0	6.0			7.0
2013-04-10	Forsa	41.0	23.0	14.0	6.0	9.0	3.0		4.0
2013-04-07	Emnid	39.0	26.0	15.0	5.0	8.0	3.0		4.0
2013-04-04	Infratestdimap	41.0	27.0	14.0	4.0	8.0	3.0		3.0
2013-04-03	Forsa	40.0	24.0	15.0	5.0	8.0	3.0		5.0
2013-03-31	Emnid	39.0	26.0	15.0	5.0	7.0	3.0		5.0
2013-03-28	Infratestdimap	39.0	28.0	15.0	4.0	8.0	3.0		3.0
2013-03-26	Forsa	41.0	24.0	14.0	5.0	8.0	3.0		5.0
2013-03-24	Emnid	40.0	27.0	15.0	5.0	7.0	3.0		3.0
2013-03-22	Infratestdimap	38.0	27.0	16.0	5.0	8.0	2.0		4.0
2013-03-22	Forsch’gr.Wahlen	40.0	29.0	14.0	4.0	7.0	3.0		3.0
2013-03-20	Forsa	40.0	24.0	15.0	6.0	7.0	3.0		5.0
2013-03-20	Allensbach	39.5	26.5	15.5	6.0	6.0	2.5		4.0
2013-03-19	GMS	40.0	26.0	16.0	5.0	7.0	3.0		3.0
2013-03-17	Emnid	39.0	28.0	16.0	4.0	8.0	3.0		2.0
2013-03-14	Infratestdimap	40.0	25.0	17.0	5.0	7.0	3.0		3.0
2013-03-13	Forsa	40.0	24.0	16.0	4.0	8.0	3.0		5.0
2013-03-10	Emnid	40.0	27.0	15.0	4.0	8.0	3.0		3.0
2013-03-08	Forsch’gr.Wahlen	41.0	28.0	14.0	4.0	7.0			6.0
2013-03-07	Infratestdimap	40.0	26.0	17.0	4.0	7.0	2.0		4.0
2013-03-06	Forsa	40.0	25.0	15.0	4.0	8.0	3.0		5.0
2013-03-03	Emnid	40.0	27.0	15.0	5.0	7.0	3.0		3.0
2013-02-28	Infratestdimap	41.0	27.0	15.0	4.0	6.0	3.0		4.0
2013-02-27	Forsa	40.0	25.0	16.0	4.0	8.0	2.0		5.0
2013-02-24	Emnid	41.0	27.0	14.0	4.0	7.0	4.0		3.0
2013-02-22	Forsch’gr.Wahlen	40.0	30.0	14.0	4.0	6.0	2.0		4.0
2013-02-21	Infratestdimap	40.0	28.0	15.0	5.0	6.0	3.0		3.0
2013-02-20	Forsa	43.0	24.0	15.0	3.0	7.0	3.0		5.0
2013-02-20	Allensbach	39.0	27.0	15.0	6.0	6.5	3.0		3.5
2013-02-19	GMS	40.0	27.0	15.0	5.0	6.0	3.0		4.0
2013-02-17	Emnid	41.0	27.0	15.0	4.0	6.0	3.0		4.0
2013-02-15	Infratestdimap	40.0	27.0	16.0	4.0	7.0	3.0		3.0
2013-02-13	Forsa	43.0	25.0	14.0	3.0	7.0	3.0		5.0
2013-02-07	Infratestdimap	39.0	29.0	15.0	4.0	6.0	3.0		4.0
2013-02-06	Forsa	41.0	25.0	15.0	4.0	7.0	3.0		5.0
2013-02-03	Emnid	41.0	27.0	14.0	4.0	7.0	4.0		3.0
2013-01-31	Infratestdimap	40.0	27.0	15.0	4.0	6.0	4.0		4.0
2013-01-30	Forsa	40.0	25.0	15.0	4.0	8.0	3.0		5.0
2013-01-29	GMS	42.0	26.0	15.0	5.0	6.0	3.0		3.0
2013-01-27	Emnid	41.0	27.0	13.0	4.0	7.0	4.0		4.0
2013-01-25	Forsch’gr.Wahlen	41.0	29.0	13.0	4.0	6.0	3.0		4.0
2013-01-24	Infratestdimap	42.0	27.0	14.0	4.0	6.0	3.0		4.0
2013-01-23	Forsa	42.0	23.0	14.0	4.0	8.0	4.0		5.0
2013-01-23	Allensbach	39.0	28.0	14.0	5.0	7.0	3.0		4.0
2013-01-20	Emnid	43.0	25.0	13.0	4.0	7.0	4.0		4.0
2013-01-18	Infratestdimap	42.0	26.0	13.0	4.0	7.0	4.0		4.0
2013-01-16	Forsa	43.0	23.0	14.0	3.0	8.0	4.0		5.0
2013-01-13	Emnid	41.0	26.0	14.0	3.0	8.0	4.0		4.0
2013-01-11	Forsch’gr.Wahlen	42.0	28.0	13.0	4.0	6.0	3.0		4.0
2013-01-10	Infratestdimap	41.0	28.0	14.0	4.0	6.0	3.0		4.0
2013-01-09	Forsa	42.0	25.0	15.0	2.0	9.0	3.0		4.0
2013-01-06	Emnid	40.0	27.0	14.0	4.0	8.0	4.0		3.0
2013-01-04	Infratestdimap	41.0	29.0	12.0	4.0	6.0	4.0		4.0
2012-12-26	Forsa	41.0	27.0	13.0	4.0	8.0	3.0		4.0
2012-12-23	Emnid	40.0	28.0	13.0	4.0	8.0	4.0		3.0
2012-12-21	Infratestdimap	40.0	30.0	13.0	4.0	7.0	3.0		3.0
2012-12-19	Forsa	38.0	27.0	14.0	5.0	8.0	3.0		5.0
2012-12-17	GMS	40.0	29.0	14.0	4.0	7.0	3.0		3.0
2012-12-16	Emnid	40.0	28.0	14.0	4.0	7.0	4.0		3.0
2012-12-14	Forsch’gr.Wahlen	40.0	30.0	13.0	4.0	7.0	3.0		3.0
2012-12-12	Forsa	38.0	27.0	14.0	4.0	8.0	4.0		5.0
2012-12-09	Emnid	40.0	28.0	14.0	4.0	7.0	3.0		4.0
2012-12-06	Infratestdimap	39.0	30.0	14.0	4.0	7.0	3.0		3.0
2012-12-05	Forsa	37.0	26.0	16.0	4.0	7.0	4.0		6.0
2012-12-02	Emnid	38.0	28.0	14.0	4.0	8.0	4.0		4.0
2012-11-30	Forsch’gr.Wahlen	38.0	29.0	14.0	4.0	7.0	4.0		4.0
2012-11-28	Forsa	37.0	26.0	16.0	4.0	8.0	4.0		5.0
2012-11-25	Emnid	38.0	29.0	15.0	4.0	7.0	4.0		3.0
2012-11-23	Infratestdimap	39.0	29.0	15.0	4.0	6.0	4.0		3.0
2012-11-22	GMS	37.0	26.0	16.0	4.0	8.0	4.0		5.0
2012-11-21	Forsa	36.0	26.0	16.0	4.0	8.0	5.0		5.0
2012-11-21	Allensbach	37.5	31.0	12.5	4.0	6.5	4.0		4.5
2012-11-18	Emnid	39.0	28.0	13.0	4.0	7.0	5.0		4.0
2012-11-16	Forsch’gr.Wahlen	39.0	30.0	13.0	4.0	6.0	4.0		4.0
2012-11-14	Forsa	39.0	26.0	14.0	4.0	8.0	4.0		5.0
2012-11-11	Emnid	38.0	30.0	12.0	4.0	7.0	5.0		4.0
2012-11-08	Infratestdimap	40.0	30.0	14.0	4.0	6.0	4.0		2.0
2012-11-07	Forsa	37.0	26.0	15.0	3.0	8.0	5.0		6.0
2012-11-04	Emnid	38.0	29.0	13.0	4.0	8.0	4.0		4.0
2012-10-30	Forsa	38.0	26.0	15.0	3.0	8.0	5.0		5.0
2012-10-28	Emnid	38.0	29.0	12.0	4.0	8.0	5.0		4.0
2012-10-26	Infratestdimap	38.0	30.0	13.0	4.0	7.0	5.0		3.0
2012-10-25	GMS	38.0	27.0	12.0	4.0	8.0	5.0		6.0
2012-10-24	Forsa	38.0	27.0	12.0	3.0	9.0	5.0		6.0
2012-10-21	Emnid	38.0	29.0	12.0	4.0	7.0	6.0		4.0
2012-10-17	Forsa	37.0	29.0	11.0	4.0	8.0	5.0		6.0
2012-10-17	Allensbach	35.5	31.0	14.0	4.5	6.0	5.0		4.0
2012-10-14	Emnid	38.0	30.0	11.0	4.0	8.0	5.0		4.0
2012-10-11	Forsch’gr.Wahlen	38.0	31.0	12.0	4.0	6.0	5.0		4.0
2012-10-10	Forsa	36.0	30.0	12.0	4.0	7.0	6.0		5.0
2012-10-07	Emnid	37.0	28.0	12.0	5.0	8.0	6.0		4.0
2012-10-04	Infratestdimap	39.0	31.0	11.0	4.0	7.0	4.0		4.0
2012-10-02	Forsa	35.0	29.0	12.0	4.0	8.0	7.0		5.0
2012-09-30	Emnid	37.0	27.0	13.0	5.0	8.0	6.0		4.0
2012-09-28	Infratestdimap	37.0	30.0	12.0	4.0	7.0	6.0		4.0
2012-09-28	Forsch’gr.Wahlen	38.0	29.0	13.0	4.0	6.0	6.0		4.0
2012-09-26	Forsa	38.0	26.0	12.0	4.0	8.0	7.0		5.0
2012-09-26	Allensbach	34.0	30.0	14.0	5.5	6.5	5.5		4.5
2012-09-23	Emnid	37.0	27.0	13.0	5.0	8.0	6.0		4.0
2012-09-21	GMS	38.0	26.0	13.0	5.0	6.0	6.0		6.0
2012-09-19	Forsa	38.0	26.0	12.0	5.0	8.0	6.0		5.0
2012-09-16	Emnid	38.0	26.0	14.0	4.0	7.0	7.0		4.0
2012-09-14	Forsch’gr.Wahlen	36.0	30.0	13.0	4.0	6.0	6.0		5.0
2012-09-12	Forsa	39.0	26.0	13.0	4.0	8.0	6.0		4.0
2012-09-09	Emnid	36	28	14	4	7	7		4
2012-09-06	Infratestdimap	37	30	13	4	6	6		4
2012-09-05	Forsa	39	26	13	4	7	7		4
2012-09-02	Emnid	36	28	13	5	7	7		4
2012-08-29	Forsa	39	26	12	5	7	7		4
2012-08-26	Emnid	36	28	14	4	7	7		4
