date	inst	cdu	spd	gru	fdp	lin	pir	afd	son
2013-09-18	Allensbach	39	26	11	6	9	2	3.5	3.5
2013-09-04	Allensbach	40	25	12.5	6	7.5	2.5	3	3.5
2013-08-21	Allensbach	39	24.5	13.5	7	7	2	3	4
2013-07-12	Allensbach	40	25.5	12.5	6.5	6	2	3.5	4
2013-06-19	Allensbach	38	26	14	6	7	2	3	4
2013-05-22	Allensbach	39	27	13	6	6	2.5	3.5	3
2013-05-03	Allensbach	38.5	26	15	5.5	6	3	3.5	2.5
2013-04-17	Allensbach	38.5	28	15	5	7	3		3.5
2013-03-20	Allensbach	39.5	26.5	15.5	6	6	2.5		4
2013-02-20	Allensbach	39	27	15	6	6.5	3		3.5
2013-01-23	Allensbach	39	28	14	5	7	3		4
2012-12-19	Allensbach	37.5	30	14	4.5	6.5	3.5		4
2012-11-21	Allensbach	37.5	31	12.5	4	6.5	4		4.5
2012-10-17	Allensbach	35.5	31	14	4.5	6	5		4
2012-09-26	Allensbach	34	30	14	5.5	6.5	5.5		4.5
2012-08-22	Allensbach	35	28	15	5.5	6	6.5		4
2012-07-18	Allensbach	36	27	14	6	6	6.5		4.5
2012-06-20	Allensbach	34	28	15.5	5.5	5	7.5		4.5
2012-05-23	Allensbach	35.5	30	14	4.5	5.5	7		3.5
2012-04-18	Allensbach	34.5	28	14	3.5	7	10		3
2012-03-21	Allensbach	35	30	16	3.5	7	5		3.5
2013-09-15	Emnid	39	26	10	5	9	3	4	4
2013-09-08	Emnid	40	25	11	5	9	3	3	4
2013-09-01	Emnid	39	23	11	6	10	3	3	5
2013-08-25	Emnid	40	25	12	5	8	3	3	4
2013-08-18	Emnid	40	24	12	6	8	4	1	5
2013-08-11	Emnid	41	25	13	5	8	3	2	3
2013-08-04	Emnid	40	25	13	5	8	3	2	4
2013-07-28	Emnid	40	25	13	5	8	3	3	3
2013-07-21	Emnid	40	25	13	6	8	3	2	3
2013-07-14	Emnid	41	26	12	5	7	4	1	4
2013-07-07	Emnid	42	26	12	4	8	3	2	3
2013-06-30	Emnid	41	25	13	5	7	3	2	4
